# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Del Col,6.368564,-33.436400,3.850,0.858
HD88955,10.245607,-42.121942,3.850,0.051
Kap Dra,12.558058,69.788238,3.850,-0.116
Tau Cen,12.628394,-48.541304,3.850,0.049
Gam Ser,15.940882,15.661617,3.850,0.478
109 Her,18.394967,21.769752,3.850,1.168
Alp Sct,18.586785,-8.244073,3.850,1.317
Mu And,0.945885,38.499345,3.860,0.130
Sceptrum,4.636340,-14.304020,3.860,1.082
Eps Col,5.520209,-35.470519,3.860,1.130
Del TrA,16.257297,-63.685682,3.860,1.105
Gam Aps,16.557609,-78.897148,3.860,0.923
The Her,17.937550,37.250539,3.860,1.350
Sadachbia,22.360938,-1.387331,3.860,-0.057
Maia,3.763779,24.367748,3.870,-0.063
HD75063,8.767124,-46.041527,3.870,0.015
Ups-1 Cen,13.977987,-44.803584,3.870,-0.208
Mu Vir,14.717673,-5.658207,3.870,0.385
Iklil,15.948077,-29.214073,3.870,-0.199
Eta Aql,19.874547,1.005661,3.870,0.630
Eps Phe,0.156836,-45.747426,3.880,1.013
Mesarthim,1.892170,19.293852,3.880,-0.047
Rasalas,9.879398,26.006951,3.880,1.222
Kap-1 Lup,15.198918,-48.737819,3.880,-0.029
Iot Gru,23.172640,-45.246711,3.880,0.998
Azha,2.940458,-8.898144,3.890,1.088
Omi-1 CMa,6.902209,-24.184211,3.890,1.740
The Hya,9.239405,2.314280,3.890,-0.060
Zaniah,12.331766,-0.666803,3.890,0.026
Eta Cyg,19.938438,35.083424,3.890,1.019
Ukdah,9.664267,-1.142810,3.900,1.313
Pi Cen,11.350117,-54.491019,3.900,-0.157
HD117440,13.517405,-39.407307,3.900,1.186
Nu Tau,4.052606,5.989305,3.910,0.032
HD71155,8.427676,-3.906424,3.910,-0.012
Sig Cen,12.467331,-50.230635,3.910,-0.192
Pi Lup,15.085303,-47.051245,3.910,-0.144
Zubenelhakrabi,15.592105,-14.789537,3.910,1.007
Tau Her,16.329011,46.313366,3.910,-0.151
Eps Her,17.004827,30.926405,3.920,-0.018
Rho-1 Sgr,19.361211,-17.847197,3.920,0.228
Kitalpha,21.263731,5.247845,3.920,0.549
Kap Phe,0.436716,-43.679829,3.930,0.175
Del Phe,1.520851,-49.072702,3.930,0.972
Tau Per,2.904295,52.762479,3.930,0.758
Nu Eri,4.605317,-3.352459,3.930,-0.210
Zet Vol,7.697004,-72.606098,3.930,1.033
HD96918,11.143165,-58.975037,3.930,1.225
Ome-1 Sco,16.113452,-20.669192,3.930,-0.046
67 Oph,18.010754,2.931568,3.930,0.029
Wurren,1.139742,-55.245760,3.940,-0.120
Alp Mon,7.687454,-9.551131,3.940,1.022
3 Pup,7.730130,-28.954826,3.940,0.160
Asellus Australis,8.744750,18.154309,3.940,1.083
Nu Cyg,20.952893,41.167136,3.940,0.027
50 Cas,2.057268,72.421294,3.950,-0.002
Nu-2 CMa,6.611399,-19.255879,3.950,1.037
Zet UMa,13.398996,54.920471,3.950,0.130
48 Per,4.144357,47.712513,3.960,-0.025
Eta Col,5.985778,-42.815135,3.960,1.146
HD76943,9.010685,41.782911,3.960,0.463
HD79447,9.187985,-62.316977,3.960,-0.180
Arkab Prior,19.377303,-44.458965,3.960,-0.085
Rukbat,19.398103,-40.615940,3.960,-0.105
32 Cyg,20.257867,47.714208,3.960,1.451
98 Aqr,23.382842,-20.100580,3.960,1.082
Beemim,4.400613,-34.016846,3.970,1.468
Nu Aur,5.858166,39.148480,3.970,1.132
Del Vol,7.280508,-67.957152,3.970,0.760
Bet Pyx,8.668373,-35.308352,3.970,0.936
Rho Cen,12.194202,-52.368460,3.970,-0.156
Chi Lup,15.849316,-33.627165,3.970,-0.045
Eps Pav,20.009845,-72.910504,3.970,-0.032
Del-1 Gru,22.487825,-43.495565,3.970,1.022
Lam Peg,22.775521,23.565654,3.970,1.070
Menkib,3.982750,35.791033,3.980,0.016
Rho Cyg,21.566350,45.591837,3.980,0.885
Ups Cet,2.000084,-21.077831,3.990,1.554
Gam Mon,6.247592,-6.274776,3.990,1.319
HD90589,10.406592,-74.031612,3.990,0.369
Alcor,13.420413,54.987958,3.990,0.169
Gam Tuc,23.290498,-58.235734,3.990,0.410
Alp Vol,9.040777,-66.396076,4.000,0.145
Iot Leo,11.398736,10.529509,4.000,0.423
Jabbah,16.199926,-19.460708,4.000,0.076
Phi Per,1.727675,50.688732,4.010,-0.098
Mu Eri,4.758375,-3.254657,4.010,-0.148
Mekbuda,7.068481,20.570297,4.010,0.899
Ome CMa,7.246849,-26.772667,4.010,-0.150
HD129116,14.699332,-37.793498,4.010,-0.157
The Dra,16.031532,58.565251,4.010,0.528
Gam-2 Nor,16.330687,-50.155508,4.010,1.080
Zet Pav,18.717260,-71.428113,4.010,1.134
41 Cyg,20.489926,30.368555,4.010,0.404
Gam Pyx,8.842204,-27.709844,4.020,1.272
Alchiba,12.140225,-24.728875,4.020,0.334
Eps Aql,18.993711,15.068298,4.020,1.082
12 Aql,19.028008,-5.739115,4.020,1.079
Gam Tri,2.288573,33.847194,4.030,0.019
Bet Cam,5.056970,60.442245,4.030,0.921
